trial_number,value,params,state
76,1.1555166840553284,"{'lr': 0.0005526928891883958, 'num_layers': 3, 'embed_size': 512, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.14372834318754868, 'batch_size': 16}",2
77,1.2179020974371169,"{'lr': 0.0001320433285016553, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.16774665725570279, 'batch_size': 16}",2
78,1.1638301014900208,"{'lr': 0.00039252616271451995, 'num_layers': 3, 'embed_size': 768, 'dim_feedforward': 1024, 'nhead': 8, 'dropout': 0.20008391235702722, 'batch_size': 16}",2
79,1.4172511219978332,"{'lr': 0.0001773976456383941, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 16, 'dropout': 0.1202062750229375, 'batch_size': 32}",2
80,0.5096481707361009,"{'lr': 0.0003007025297388533, 'num_layers': 2, 'embed_size': 256, 'dim_feedforward': 512, 'nhead': 4, 'dropout': 0.15712712438347956, 'batch_size': 16}",2
81,0.014684560379666638,"{'lr': 0.00033835718571621325, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.11890314335764272, 'batch_size': 16}",1
82,0.06296636298308537,"{'lr': 0.00042524344519125415, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.10851487198934787, 'batch_size': 16}",1
83,0.015077714427510122,"{'lr': 0.0003341167373224792, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.11720885945349489, 'batch_size': 16}",1
84,1.0342879229121738,"{'lr': 0.00019282432109931483, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.11688879681919603, 'batch_size': 16}",2
85,0.017253857118905418,"{'lr': 0.0003483885717568894, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.12505406348348252, 'batch_size': 16}",1
86,0.9930826756689284,"{'lr': 0.0002701223781558502, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.12352800532939365, 'batch_size': 16}",2
87,2.0969470143318176,"{'lr': 0.00024662054898668404, 'num_layers': 2, 'embed_size': 256, 'dim_feedforward': 2048, 'nhead': 4, 'dropout': 0.11039030446231114, 'batch_size': 128}",2
88,1.0895507666799757,"{'lr': 0.00032545606994700854, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.13098835284916016, 'batch_size': 16}",2
89,2.382582108179728,"{'lr': 0.0006471143223666941, 'num_layers': 3, 'embed_size': 512, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.2420923973868873, 'batch_size': 64}",2
90,1.0898323390218947,"{'lr': 0.00047189170680538917, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.1398252156567317, 'batch_size': 16}",2
91,1.0273234645525615,"{'lr': 0.0003593845016736123, 'num_layers': 5, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.11742369264580578, 'batch_size': 16}",2
92,1.3433891865942214,"{'lr': 0.0003949645250841928, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.14805483713936637, 'batch_size': 16}",2
93,2.458237714237637,"{'lr': 0.0005200887429848864, 'num_layers': 9, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.22784580253378503, 'batch_size': 16}",2
94,0.9968040121926202,"{'lr': 0.0002978588532569303, 'num_layers': 5, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.12765841068497544, 'batch_size': 16}",2
95,1.1281920075416565,"{'lr': 0.0003261956632580237, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.2898830543645449, 'batch_size': 16}",2
96,1.1375691360897489,"{'lr': 0.00022335721816393474, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.2108608735722109, 'batch_size': 16}",2
97,0.5063042442003886,"{'lr': 0.0003609298208013539, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 8, 'dropout': 0.18223316665097056, 'batch_size': 16}",2
98,2.5142086611853705,"{'lr': 0.0004395053309658828, 'num_layers': 7, 'embed_size': 768, 'dim_feedforward': 1024, 'nhead': 16, 'dropout': 0.13344603997492083, 'batch_size': 16}",2
99,2.0240695476531982,"{'lr': 4.676326906341908e-05, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.10066624846155413, 'batch_size': 32}",2
